"Method","Trait","pval","estimate","se","lower","upper","length"
"MVMR-IVW",1,0.01,0.01,0.053,-0.094,0.114,0.208
"MVMR-IVW",1,1e-04,0.025,0.064,-0.1,0.15,0.25
"MVMR-IVW",1,1e-06,0.02,0.071,-0.119,0.159,0.278
"MVMR-IVW",1,1e-08,0.018,0.081,-0.141,0.178,0.319
"GRAPPLE",1,0.01,-0.053,0.142,-0.331,0.225,0.556
"GRAPPLE",1,1e-04,0.02,0.157,-0.288,0.329,0.617
"GRAPPLE",1,1e-06,0.001,0.155,-0.303,0.305,0.608
"GRAPPLE",1,1e-08,-0.027,0.187,-0.392,0.339,0.731
"MVMR-Egger",1,0.01,0.012,0.053,-0.092,0.117,0.209
"MVMR-Egger",1,1e-04,0.035,0.064,-0.09,0.161,0.251
"MVMR-Egger",1,1e-06,0.036,0.071,-0.102,0.175,0.277
"MVMR-Egger",1,1e-08,0.022,0.081,-0.137,0.182,0.319
"MVMR-Robust",1,0.01,0.009,0.046,-0.081,0.098,0.179
"MVMR-Robust",1,1e-04,0.022,0.051,-0.079,0.122,0.201
"MVMR-Robust",1,1e-06,0.017,0.053,-0.088,0.121,0.209
"MVMR-Robust",1,1e-08,0.011,0.061,-0.108,0.13,0.238
"MVMR-cML",1,0.01,-0.559,0.175,-0.902,-0.216,0.686
"MVMR-cML",1,1e-04,-0.386,0.145,-0.671,-0.102,0.569
"MVMR-cML",1,1e-06,-0.438,0.16,-0.751,-0.126,0.625
"MVMR-cML",1,1e-08,-0.527,0.157,-0.834,-0.219,0.615
"FLOW-MR",1,0.01,0.084,0.131,-0.171,0.347,0.518
"FLOW-MR",1,1e-04,0.105,0.139,-0.163,0.39,0.553
"FLOW-MR",1,1e-06,0.088,0.143,-0.188,0.381,0.569
"FLOW-MR",1,1e-08,0.112,0.158,-0.185,0.433,0.618
"MVMR-Horse",1,0.01,0.028,0.075,-0.119,0.174,0.293
"MVMR-Horse",1,1e-04,0.03,0.08,-0.127,0.184,0.311
"MVMR-Horse",1,1e-06,0.015,0.08,-0.148,0.169,0.317
"MVMR-Horse",1,1e-08,-0.003,0.092,-0.185,0.177,0.362
"FLOW-MR-indirect",1,0.01,0.76,0,0.549,1.012,0.463
"FLOW-MR-indirect",1,1e-04,0.767,0,0.531,1.024,0.493
"FLOW-MR-indirect",1,1e-06,0.743,0,0.51,1.027,0.517
"FLOW-MR-indirect",1,1e-08,0.732,0,0.463,1.02,0.557
"MVMR-IVW",1,0.01,0.018,0.06,-0.1,0.135,0.235
"MVMR-IVW",1,1e-04,0.052,0.07,-0.086,0.19,0.276
"MVMR-IVW",1,1e-06,0.059,0.077,-0.092,0.209,0.301
"MVMR-IVW",1,1e-08,0.067,0.088,-0.105,0.239,0.344
"GRAPPLE",1,0.01,-0.178,0.256,-0.679,0.324,1.003
"GRAPPLE",1,1e-04,0.012,0.252,-0.483,0.506,0.989
"GRAPPLE",1,1e-06,0.022,0.285,-0.536,0.581,1.117
"GRAPPLE",1,1e-08,0.017,0.325,-0.62,0.655,1.275
"MVMR-Egger",1,0.01,0.027,0.06,-0.09,0.145,0.235
"MVMR-Egger",1,1e-04,0.054,0.071,-0.084,0.192,0.276
"MVMR-Egger",1,1e-06,0.061,0.077,-0.091,0.212,0.303
"MVMR-Egger",1,1e-08,0.07,0.088,-0.103,0.243,0.346
"MVMR-Robust",1,0.01,-0.021,0.059,-0.136,0.093,0.229
"MVMR-Robust",1,1e-04,0.016,0.066,-0.114,0.146,0.26
"MVMR-Robust",1,1e-06,0.025,0.075,-0.123,0.173,0.296
"MVMR-Robust",1,1e-08,0.026,0.09,-0.15,0.203,0.353
"MVMR-cML",1,0.01,-1.058,0.218,-1.484,-0.631,0.853
"MVMR-cML",1,1e-04,-0.861,0.234,-1.319,-0.403,0.916
"MVMR-cML",1,1e-06,-0.888,0.233,-1.346,-0.431,0.915
"MVMR-cML",1,1e-08,-0.9,0.246,-1.382,-0.418,0.964
"FLOW-MR",1,0.01,0.111,0.189,-0.245,0.492,0.737
"FLOW-MR",1,1e-04,0.189,0.208,-0.203,0.62,0.823
"FLOW-MR",1,1e-06,0.199,0.212,-0.198,0.635,0.833
"FLOW-MR",1,1e-08,0.238,0.219,-0.177,0.676,0.853
"MVMR-Horse",1,0.01,-0.003,0.104,-0.2,0.208,0.408
"MVMR-Horse",1,1e-04,0.064,0.104,-0.14,0.274,0.414
"MVMR-Horse",1,1e-06,0.092,0.109,-0.113,0.312,0.425
"MVMR-Horse",1,1e-08,0.105,0.124,-0.13,0.348,0.478
"FLOW-MR-indirect",1,0.01,0.885,0,0.564,1.257,0.693
"FLOW-MR-indirect",1,1e-04,0.814,0,0.467,1.187,0.72
"FLOW-MR-indirect",1,1e-06,0.812,0,0.456,1.175,0.719
"FLOW-MR-indirect",1,1e-08,0.767,0,0.39,1.147,0.757
"MVMR-IVW",1,0.01,0.027,0.06,-0.091,0.145,0.236
"MVMR-IVW",1,1e-04,-0.004,0.071,-0.144,0.136,0.28
"MVMR-IVW",1,1e-06,-0.017,0.081,-0.175,0.141,0.316
"MVMR-IVW",1,1e-08,-0.071,0.091,-0.25,0.107,0.357
"GRAPPLE",1,0.01,0.272,0.461,-0.632,1.176,1.808
"GRAPPLE",1,1e-04,-0.056,0.275,-0.596,0.484,1.08
"GRAPPLE",1,1e-06,-0.069,0.28,-0.618,0.48,1.098
"GRAPPLE",1,1e-08,-0.271,0.296,-0.85,0.309,1.159
"MVMR-Egger",1,0.01,0.027,0.061,-0.092,0.145,0.237
"MVMR-Egger",1,1e-04,-0.004,0.072,-0.144,0.137,0.281
"MVMR-Egger",1,1e-06,-0.016,0.081,-0.174,0.143,0.317
"MVMR-Egger",1,1e-08,-0.07,0.091,-0.249,0.109,0.358
"MVMR-Robust",1,0.01,0.05,0.063,-0.073,0.173,0.246
"MVMR-Robust",1,1e-04,0.012,0.072,-0.129,0.153,0.282
"MVMR-Robust",1,1e-06,0.007,0.083,-0.156,0.169,0.325
"MVMR-Robust",1,1e-08,-0.062,0.093,-0.245,0.121,0.366
"MVMR-cML",1,0.01,0.984,0.209,0.575,1.393,0.818
"MVMR-cML",1,1e-04,-0.806,0.22,-1.237,-0.375,0.862
"MVMR-cML",1,1e-06,-0.91,0.238,-1.377,-0.444,0.933
"MVMR-cML",1,1e-08,-1.232,0.317,-1.854,-0.609,1.245
"FLOW-MR",1,0.01,0.256,0.234,-0.183,0.745,0.928
"FLOW-MR",1,1e-04,0.179,0.241,-0.273,0.676,0.949
"FLOW-MR",1,1e-06,0.137,0.247,-0.335,0.641,0.976
"FLOW-MR",1,1e-08,0.017,0.242,-0.46,0.493,0.953
"MVMR-Horse",1,0.01,0.104,0.103,-0.103,0.302,0.405
"MVMR-Horse",1,1e-04,0.043,0.115,-0.178,0.274,0.452
"MVMR-Horse",1,1e-06,0.029,0.122,-0.208,0.268,0.476
"MVMR-Horse",1,1e-08,-0.086,0.126,-0.329,0.171,0.5
"FLOW-MR-indirect",1,0.01,0.736,0,0.328,1.143,0.815
"FLOW-MR-indirect",1,1e-04,0.777,0,0.378,1.179,0.801
"FLOW-MR-indirect",1,1e-06,0.83,0,0.414,1.272,0.858
"FLOW-MR-indirect",1,1e-08,0.902,0,0.492,1.357,0.865
"MVMR-IVW",1,0.01,0.096,0.062,-0.025,0.217,0.242
"MVMR-IVW",1,1e-04,0.111,0.072,-0.031,0.252,0.283
"MVMR-IVW",1,1e-06,0.109,0.081,-0.049,0.268,0.317
