"","exposure","threshold","method","beta_hat","se","lower","upper","p.value"
"1","1-year-old BMI",1e-08,"MVMR-IVW",0.05179932625122,0.0694727936151809,-0.0843673492345345,0.187966001736974,0.459080271120505
"2"," 8-year-old BMI",1e-08,"MVMR-IVW",0.0395610112367096,0.0756465636607209,-0.108706253538303,0.187828276011723,0.603094525248115
"3","Adult BMI",1e-08,"MVMR-IVW",-0.42006624858839,0.115222763720696,-0.645902865480954,-0.194229631695826,0.000592714164113133
"4","1-year-old BMI",1e-08,"GRAPPLE",-1.35902209401944,7.10155755727657,-15.2780749062815,12.5600307182426,0.848236050481067
"5"," 8-year-old BMI",1e-08,"GRAPPLE",3.15665065862676,15.278670309176,-26.7895431473582,33.1028444646117,0.83631830501608
"6","Adult BMI",1e-08,"GRAPPLE",-3.64842901724597,15.7228156851158,-34.4651477600729,27.1682897255809,0.816501666965048
"7","1-year-old BMI",1e-08,"FLOW-MR",-0.154187970458277,0.156194599722909,-0.432038872996961,0.177522386126978,NA
"8"," 8-year-old BMI",1e-08,"FLOW-MR",0.0214808296056591,0.171514580323593,-0.323081690894005,0.361496107154594,NA
"9","Adult BMI",1e-08,"FLOW-MR",-0.204898925954153,0.181813994640263,-0.57723620275938,0.142651028324768,NA
"10","1-year-old BMI",1e-06,"MVMR-IVW",0.0276656777607164,0.0496633769671293,-0.069674541094857,0.12500589661629,0.578547822541428
"11"," 8-year-old BMI",1e-06,"MVMR-IVW",-0.00393870429619651,0.0440105514720987,-0.0901993851815099,0.0823219765891169,0.928841907012295
"12","Adult BMI",1e-06,"MVMR-IVW",-0.277818716117756,0.0709331408339789,-0.416847672152354,-0.138789760083157,0.000151490401089228
"13","1-year-old BMI",1e-06,"GRAPPLE",-0.235430340800676,0.378002813682283,-0.976315855617951,0.5054551740166,0.53339824411607
"14"," 8-year-old BMI",1e-06,"GRAPPLE",0.236823919793457,0.461786690764644,-0.668277994105246,1.14192583369216,0.608061378466901
"15","Adult BMI",1e-06,"GRAPPLE",-0.278071508141592,0.261838716679659,-0.791275392833724,0.235132376550541,0.288237781309913
"16","1-year-old BMI",1e-06,"FLOW-MR",-0.0902449837230546,0.141956465204037,-0.340097705712378,0.231075096112123,NA
"17"," 8-year-old BMI",1e-06,"FLOW-MR",-0.101603512894834,0.182054716946237,-0.493471702084692,0.234064628662516,NA
"18","Adult BMI",1e-06,"FLOW-MR",-0.0744128580301358,0.136381887405091,-0.343273961680945,0.195008563117824,NA
"19","1-year-old BMI",1e-04,"MVMR-IVW",-0.0375327854143257,0.037622267968354,-0.1112724306323,0.0362068598036481,0.319258930532447
"20"," 8-year-old BMI",1e-04,"MVMR-IVW",-0.00353337765579348,0.0295205417671044,-0.0613936395193181,0.0543268842077311,0.904806325495212
"21","Adult BMI",1e-04,"MVMR-IVW",-0.195269000272124,0.056700553352889,-0.306402084843786,-0.0841359157004611,0.000654275029471348
"22","1-year-old BMI",1e-04,"GRAPPLE",-5.61678045949874,25.9077339378618,-56.3959389777079,45.1623780587104,0.828364701036531
"23"," 8-year-old BMI",1e-04,"GRAPPLE",4.57981539896033,21.5018917457729,-37.5638924227545,46.7235232206752,0.83133013833301
"24","Adult BMI",1e-04,"GRAPPLE",-1.5062363488519,6.30519742125473,-13.8644232945112,10.8519505968074,0.811192388111836
"25","1-year-old BMI",1e-04,"FLOW-MR",0.122543205311574,0.208351295061496,-0.243082552637672,0.556833294906196,NA
"26"," 8-year-old BMI",1e-04,"FLOW-MR",-0.341794230874622,0.187869814237698,-0.713846672002358,0.0152221214294376,NA
"27","Adult BMI",1e-04,"FLOW-MR",0.0757576200573967,0.111468268594284,-0.134344876331271,0.30907962729406,NA
"28","1-year-old BMI",0.01,"MVMR-IVW",-0.00812130943925256,0.0222988129358204,-0.0518269827934606,0.0355843639149555,0.715810109906564
"29"," 8-year-old BMI",0.01,"MVMR-IVW",-0.0261849419218945,0.0171487006409269,-0.0597963951781113,0.0074265113343222,0.127205174684313
"30","Adult BMI",0.01,"MVMR-IVW",-0.146288888831511,0.0412770889949448,-0.227191983261603,-0.0653857944014192,0.000418782159307262
"31","1-year-old BMI",0.01,"GRAPPLE",4.13754225875596,65.2725724168426,-123.796699678255,132.071784195767,0.949457000527988
"32"," 8-year-old BMI",0.01,"GRAPPLE",-3.33356901625936,50.0351664389566,-101.402495236614,94.7353572040956,0.946880623874561
"33","Adult BMI",0.01,"GRAPPLE",1.11677520100897,18.2323130972005,-34.618558469504,36.8521088715219,0.9511580998838
"34","1-year-old BMI",0.01,"FLOW-MR",0.348259450752109,0.199508686795794,-0.0390156847993146,0.758649961432532,NA
"35"," 8-year-old BMI",0.01,"FLOW-MR",-0.538814579525658,0.157902975119958,-0.848467119176451,-0.210078791105846,NA
"36","Adult BMI",0.01,"FLOW-MR",0.173815474643136,0.098621084939018,-0.0094664120091761,0.37951118117557,NA
