"Method","Trait","pval","coverage","coverage_sd","lower","upper","nsnp"
"FLOW-MR","1","1e-08",1.11058118127833,0.00781689875549557,1.09526005971756,1.1259023028391,121
"FLOW-MR","1","1e-06",1.18046610502186,0.00761281813627075,1.16554498147477,1.19538722856896,144
"FLOW-MR","1","1e-04",1.25430682518361,0.00636360491071718,1.2418341595586,1.26677949080861,178
"FLOW-MR","1","0.01",1.37161143005988,0.0136011332770483,1.34495320883686,1.39826965128289,238
"GRAPPLE","1","1e-08",0.564189194710298,0.2184185473798,0.13608884184589,0.992289547574707,121
"GRAPPLE","1","1e-06",0.677248154967116,0.194214588846953,0.296587560827089,1.05790874910714,144
"GRAPPLE","1","1e-04",0.75677888392395,0.170849133029122,0.421914583186871,1.09164318466103,178
"GRAPPLE","1","0.01",0.815318419115426,0.165316127823894,0.491298808580594,1.13933802965026,238
"MVMR-Egger","1","1e-08",-2.69897000433602,0,-2.69897000433602,-2.69897000433602,121
"MVMR-Egger","1","1e-06",-2.69897000433602,0,-2.69897000433602,-2.69897000433602,144
"MVMR-Egger","1","1e-04",-2.6954481791549,0.0247769724002592,-2.74401104505941,-2.6468853132504,178
"MVMR-Egger","1","0.01",-2.67386455423395,0.0781554080744609,-2.8270491540599,-2.52067995440801,238
"MVMR-Horse","1","1e-08",2.65627946112443,0.0262777314809012,2.60477510742187,2.707783814827,121
"MVMR-Horse","1","1e-06",2.7374963200843,0.0277229148782171,2.683159406923,2.79183323324561,144
"MVMR-Horse","1","1e-04",2.82301701313965,0.0295318689506198,2.76513454999644,2.88089947628287,178
"MVMR-Horse","1","0.01",2.94494805446976,0.0329484509634143,2.88036909058147,3.00952701835805,238
"MVMR-IVW","1","1e-08",-2.5133105812081,0.0677412505567039,-2.64608343229924,-2.38053773011696,121
"MVMR-IVW","1","1e-06",-2.4987829621195,0.135787255217624,-2.76492598234604,-2.23263994189295,144
"MVMR-IVW","1","1e-04",-2.49816148305201,0.120097315686665,-2.73355222179787,-2.26277074430615,178
"MVMR-IVW","1","0.01",-2.3739378163437,0.443354555605404,-3.24291274533029,-1.50496288735711,238
"MVMR-Robust","1","1e-08",-2.03889386697657,0.0164210035082971,-2.07107903385284,-2.00670870010031,121
"MVMR-Robust","1","1e-06",-1.9901681025937,0.0199233148409459,-2.02921779968196,-1.95111840550545,144
"MVMR-Robust","1","1e-04",-1.91058800937804,0.0816354593226106,-2.07059350965035,-1.75058250910572,178
"MVMR-Robust","1","0.01",-1.82577094756113,0.0644091415057333,-1.95201286491236,-1.69952903020989,238
"MVMR-cML","1","1e-08",2.40513101915736,0.0243014361443432,2.35750020431445,2.45276183400027,121
"MVMR-cML","1","1e-06",2.57221094486369,0.0208879243962556,2.53127061304703,2.61315127668035,144
"MVMR-cML","1","1e-04",2.7484560074362,0.0187869925831559,2.71163350197322,2.78527851289919,178
"MVMR-cML","1","0.01",3.02599294941685,0.0168429007840357,2.99298086388014,3.05900503495356,238
