"Method","Trait","pval","coverage","coverage_sd","lower","upper","nsnp"
"FLOW-MR","1","1e-08",3.00988864006888,0.0180279273357705,2.97455390249077,3.04522337764699,362
"FLOW-MR","1","1e-06",3.09538830568068,0.02371383162458,3.0489091956965,3.14186741566485,426
"FLOW-MR","1","1e-04",3.18102254135467,0.018204604719671,3.14534151610411,3.21670356660522,495
"FLOW-MR","1","0.01",3.27746956443678,0.010379272655726,3.25712619003156,3.29781293884201,584
"GRAPPLE","1","1e-08",1.73650241223655,0.147795024860589,1.4468241635098,2.02618066096331,362
"GRAPPLE","1","1e-06",1.63888727814852,0.22550909980419,1.1968894425323,2.08088511376473,426
"GRAPPLE","1","1e-04",1.56039721965793,0.246973250339063,1.07632964899337,2.0444647903225,495
"GRAPPLE","1","0.01",1.66499260032572,0.241561492971651,1.19153207410128,2.13845312655016,584
"MVMR-Egger","1","1e-08",-2.67166051066422,0.100970147338724,-2.86956199944812,-2.47375902188033,362
"MVMR-Egger","1","1e-06",-2.6426208014382,0.0825561909518978,-2.80443093570392,-2.48081066717248,426
"MVMR-Egger","1","1e-04",-2.67607814065878,0.0595184350902695,-2.79273427343571,-2.55942200788185,495
"MVMR-Egger","1","0.01",-2.46739417594821,0.0720264276409449,-2.60856597412446,-2.32622237777196,584
"MVMR-Horse","1","1e-08",3.9947532582776,0.0170872304250114,3.96126228664458,4.02824422991062,362
"MVMR-Horse","1","1e-06",4.07014080223865,0.0172527354188032,4.0363254408178,4.10395616365951,426
"MVMR-Horse","1","1e-04",4.12864915395518,0.0187284669642758,4.0919413587052,4.16535694920516,495
"MVMR-Horse","1","0.01",4.19306877095057,0.0150966701511537,4.16347929745431,4.22265824444683,584
"MVMR-IVW","1","1e-08",-2.35799270691677,0.131784674799108,-2.61629066952302,-2.09969474431051,362
"MVMR-IVW","1","1e-06",-2.36668886910964,0.0978287216543763,-2.55843316355222,-2.17494457466707,426
"MVMR-IVW","1","1e-04",-2.32033552455023,0.122223179803043,-2.5598929569642,-2.08077809213627,495
"MVMR-IVW","1","0.01",-0.362104566476174,0.754446715449334,-1.84082012875687,1.11661099580452,584
"MVMR-Robust","1","1e-08",-1.52499076695088,0.0313851325636334,-1.5865056267756,-1.46347590712616,362
"MVMR-Robust","1","1e-06",-1.46281099397474,0.0289762949669442,-1.51960453210995,-1.40601745583953,426
"MVMR-Robust","1","1e-04",-1.33036775736595,0.0273726371257137,-1.38401812613235,-1.27671738859955,495
"MVMR-Robust","1","0.01",-1.28237843573082,0.0501098158376971,-1.38059367477271,-1.18416319668894,584
"MVMR-cML","1","1e-08",3.85824404682128,0.00608508690051512,3.84631727649627,3.87017081714629,362
"MVMR-cML","1","1e-06",4.00315882536686,0.00688362756485294,3.98966691533975,4.01665073539398,426
"MVMR-cML","1","1e-04",4.1413598728979,0.00752787162432572,4.12660524451422,4.15611450128158,495
"MVMR-cML","1","0.01",4.29515643031473,0.00899119179221446,4.27753369440199,4.31277916622747,584
