"Method","Trait","pval","estimate","se","lower","upper","length"
"MVMR-IVW",1,0.01,-0.077,0.067,-0.208,0.054,0.262
"MVMR-IVW",1,1e-04,-0.093,0.073,-0.236,0.05,0.286
"MVMR-IVW",1,1e-06,-0.108,0.078,-0.26,0.044,0.304
"MVMR-IVW",1,1e-08,-0.124,0.079,-0.279,0.03,0.309
"GRAPPLE",1,0.01,-0.189,0.133,-0.449,0.072,0.521
"GRAPPLE",1,1e-04,-0.185,0.13,-0.439,0.07,0.509
"GRAPPLE",1,1e-06,-0.196,0.17,-0.529,0.137,0.666
"GRAPPLE",1,1e-08,-0.172,0.177,-0.518,0.175,0.693
"MVMR-Egger",1,0.01,-0.073,0.067,-0.204,0.057,0.261
"MVMR-Egger",1,1e-04,-0.09,0.073,-0.232,0.053,0.285
"MVMR-Egger",1,1e-06,-0.106,0.077,-0.257,0.046,0.303
"MVMR-Egger",1,1e-08,-0.123,0.078,-0.276,0.031,0.307
"MVMR-Robust",1,0.01,-0.087,0.064,-0.212,0.038,0.25
"MVMR-Robust",1,1e-04,-0.103,0.065,-0.231,0.025,0.256
"MVMR-Robust",1,1e-06,-0.124,0.07,-0.261,0.013,0.274
"MVMR-Robust",1,1e-08,-0.13,0.073,-0.273,0.014,0.287
"MVMR-cML",1,0.01,-0.451,0.116,-0.679,-0.224,0.455
"MVMR-cML",1,1e-04,-0.357,0.112,-0.577,-0.137,0.44
"MVMR-cML",1,1e-06,0.033,0.112,-0.187,0.253,0.44
"MVMR-cML",1,1e-08,0.003,0.11,-0.212,0.219,0.431
"FLOW-MR",1,0.01,-0.125,0.112,-0.351,0.092,0.443
"FLOW-MR",1,1e-04,-0.145,0.116,-0.369,0.088,0.457
"FLOW-MR",1,1e-06,-0.162,0.124,-0.404,0.082,0.486
"FLOW-MR",1,1e-08,-0.165,0.129,-0.415,0.086,0.501
"MVMR-Horse",1,0.01,-0.148,0.098,-0.343,0.041,0.384
"MVMR-Horse",1,1e-04,-0.172,0.098,-0.363,0.018,0.381
"MVMR-Horse",1,1e-06,-0.198,0.103,-0.398,0.004,0.402
"MVMR-Horse",1,1e-08,-0.204,0.104,-0.406,0,0.406
"FLOW-MR-indirect",1,0.01,0.849,0,0.641,1.102,0.461
"FLOW-MR-indirect",1,1e-04,0.895,0,0.654,1.176,0.522
"FLOW-MR-indirect",1,1e-06,0.918,0,0.621,1.248,0.627
"FLOW-MR-indirect",1,1e-08,0.921,0,0.599,1.262,0.663
"MVMR-IVW",1,0.01,0.055,0.066,-0.074,0.183,0.257
"MVMR-IVW",1,1e-04,0.016,0.07,-0.122,0.154,0.276
"MVMR-IVW",1,1e-06,-0.005,0.076,-0.154,0.145,0.299
"MVMR-IVW",1,1e-08,-0.013,0.077,-0.163,0.138,0.301
"GRAPPLE",1,0.01,0.695,0.381,-0.052,1.441,1.493
"GRAPPLE",1,1e-04,0.309,0.227,-0.136,0.755,0.891
"GRAPPLE",1,1e-06,0.199,0.197,-0.187,0.585,0.772
"GRAPPLE",1,1e-08,0.154,0.185,-0.208,0.516,0.724
"MVMR-Egger",1,0.01,0.055,0.066,-0.073,0.184,0.257
"MVMR-Egger",1,1e-04,0.018,0.07,-0.119,0.156,0.275
"MVMR-Egger",1,1e-06,-0.005,0.077,-0.155,0.145,0.3
"MVMR-Egger",1,1e-08,-0.011,0.077,-0.162,0.139,0.301
"MVMR-Robust",1,0.01,0.017,0.068,-0.117,0.15,0.267
"MVMR-Robust",1,1e-04,-0.022,0.071,-0.161,0.117,0.278
"MVMR-Robust",1,1e-06,-0.042,0.08,-0.199,0.114,0.313
"MVMR-Robust",1,1e-08,-0.055,0.084,-0.221,0.11,0.331
"MVMR-cML",1,0.01,0.387,0.112,0.167,0.606,0.439
"MVMR-cML",1,1e-04,0.243,0.108,0.031,0.455,0.424
"MVMR-cML",1,1e-06,0.36,0.129,0.107,0.613,0.506
"MVMR-cML",1,1e-08,0.21,0.114,-0.013,0.433,0.446
"FLOW-MR",1,0.01,0.101,0.119,-0.125,0.344,0.469
"FLOW-MR",1,1e-04,0.063,0.122,-0.166,0.314,0.48
"FLOW-MR",1,1e-06,0.047,0.128,-0.196,0.305,0.501
"FLOW-MR",1,1e-08,0.048,0.132,-0.209,0.311,0.52
"MVMR-Horse",1,0.01,0.01,0.095,-0.174,0.195,0.369
"MVMR-Horse",1,1e-04,-0.051,0.093,-0.237,0.132,0.369
"MVMR-Horse",1,1e-06,-0.084,0.102,-0.288,0.121,0.409
"MVMR-Horse",1,1e-08,-0.104,0.107,-0.315,0.108,0.423
"FLOW-MR-indirect",1,0.01,0.693,0,0.437,0.971,0.534
"FLOW-MR-indirect",1,1e-04,0.738,0,0.459,1.005,0.546
"FLOW-MR-indirect",1,1e-06,0.779,0,0.47,1.072,0.602
"FLOW-MR-indirect",1,1e-08,0.783,0,0.503,1.07,0.567
"MVMR-IVW",1,0.01,0.039,0.069,-0.097,0.175,0.272
"MVMR-IVW",1,1e-04,0.056,0.077,-0.095,0.208,0.303
