"Method","Trait","pval","estimate","se","lower","upper","length"
"MVMR-IVW","1","0.01",-0.384,0.106,-0.593,-0.176,0.417
"MVMR-IVW","1","1e-04",-0.403,0.158,-0.713,-0.092,0.621
"MVMR-IVW","1","1e-06",-0.429,0.184,-0.789,-0.069,0.72
"MVMR-IVW","1","1e-08",-0.465,0.262,-0.978,0.048,1.026
"GRAPPLE","1","0.01",-0.356,0.145,-0.641,-0.072,0.569
"GRAPPLE","1","1e-04",-0.449,0.187,-0.815,-0.084,0.731
"GRAPPLE","1","1e-06",-0.497,0.206,-0.9,-0.094,0.806
"GRAPPLE","1","1e-08",-0.537,0.299,-1.124,0.049,1.173
"MVMR-Egger","1","0.01",-0.365,0.109,-0.578,-0.153,0.425
"MVMR-Egger","1","1e-04",-0.327,0.162,-0.644,-0.01,0.634
"MVMR-Egger","1","1e-06",-0.304,0.194,-0.684,0.075,0.759
"MVMR-Egger","1","1e-08",-0.369,0.27,-0.897,0.16,1.057
"MVMR-Robust","1","0.01",-0.269,0.123,-0.51,-0.029,0.481
"MVMR-Robust","1","1e-04",-0.376,0.174,-0.717,-0.035,0.682
"MVMR-Robust","1","1e-06",-0.464,0.192,-0.841,-0.087,0.754
"MVMR-Robust","1","1e-08",-0.548,0.222,-0.983,-0.113,0.87
"MVMR-cML","1","0.01",-0.509,0.104,-0.713,-0.305,0.408
"MVMR-cML","1","1e-04",-0.675,0.122,-0.915,-0.436,0.479
"MVMR-cML","1","1e-06",-0.69,0.141,-0.966,-0.414,0.552
"MVMR-cML","1","1e-08",-0.731,0.183,-1.089,-0.373,0.716
"FLOW-MR","1","0.01",-0.446,0.141,-0.722,-0.168,0.554
"FLOW-MR","1","1e-04",-0.497,0.176,-0.839,-0.14,0.699
"FLOW-MR","1","1e-06",-0.533,0.188,-0.898,-0.155,0.743
"FLOW-MR","1","1e-08",-0.572,0.231,-1.017,-0.103,0.914
"MVMR-Horse","1","0.01",-0.333,0.118,-0.56,-0.106,0.454
"MVMR-Horse","1","1e-04",-0.419,0.148,-0.713,-0.132,0.581
"MVMR-Horse","1","1e-06",-0.481,0.175,-0.82,-0.137,0.683
"MVMR-Horse","1","1e-08",-0.543,0.228,-0.972,-0.102,0.87
"FLOW-MR-indirect","1","0.01",0.082,0,-0.136,0.309,0.445
"FLOW-MR-indirect","1","1e-04",0.114,0,-0.171,0.392,0.563
"FLOW-MR-indirect","1","1e-06",0.115,0,-0.199,0.425,0.624
"FLOW-MR-indirect","1","1e-08",0.118,0,-0.267,0.508,0.775
"MVMR-IVW","2","0.01",-0.007,0.059,-0.122,0.109,0.231
"MVMR-IVW","2","1e-04",-0.027,0.089,-0.201,0.148,0.349
"MVMR-IVW","2","1e-06",-0.053,0.108,-0.265,0.159,0.424
"MVMR-IVW","2","1e-08",-0.084,0.165,-0.408,0.241,0.649
"GRAPPLE","2","0.01",0.018,0.079,-0.136,0.172,0.308
"GRAPPLE","2","1e-04",0.053,0.105,-0.152,0.259,0.411
"GRAPPLE","2","1e-06",0.064,0.122,-0.175,0.303,0.478
"GRAPPLE","2","1e-08",0.047,0.191,-0.327,0.421,0.748
"MVMR-Egger","2","0.01",-0.055,0.079,-0.209,0.1,0.309
"MVMR-Egger","2","1e-04",-0.208,0.126,-0.455,0.039,0.494
"MVMR-Egger","2","1e-06",-0.31,0.175,-0.652,0.032,0.684
"MVMR-Egger","2","1e-08",-0.317,0.241,-0.789,0.155,0.944
"MVMR-Robust","2","0.01",-0.015,0.058,-0.13,0.099,0.229
"MVMR-Robust","2","1e-04",0.034,0.086,-0.134,0.202,0.336
"MVMR-Robust","2","1e-06",0.065,0.103,-0.137,0.267,0.404
"MVMR-Robust","2","1e-08",0.09,0.122,-0.15,0.33,0.48
"MVMR-cML","2","0.01",0.088,0.055,-0.021,0.196,0.217
"MVMR-cML","2","1e-04",0.184,0.067,0.053,0.315,0.262
"MVMR-cML","2","1e-06",0.189,0.082,0.028,0.35,0.322
"MVMR-cML","2","1e-08",0.198,0.116,-0.03,0.427,0.457
"FLOW-MR","2","0.01",0.054,0.074,-0.09,0.203,0.293
"FLOW-MR","2","1e-04",0.076,0.096,-0.115,0.261,0.376
"FLOW-MR","2","1e-06",0.08,0.11,-0.139,0.293,0.432
"FLOW-MR","2","1e-08",0.084,0.141,-0.193,0.356,0.549
"MVMR-Horse","2","0.01",-0.006,0.058,-0.119,0.108,0.227
"MVMR-Horse","2","1e-04",0.043,0.077,-0.107,0.193,0.3
"MVMR-Horse","2","1e-06",0.063,0.098,-0.128,0.249,0.377
"MVMR-Horse","2","1e-08",0.073,0.137,-0.191,0.341,0.532
"FLOW-MR-indirect","2","0.01",0,0,0,0,0
"FLOW-MR-indirect","2","1e-04",0,0,0,0,0
"FLOW-MR-indirect","2","1e-06",0,0,0,0,0
"FLOW-MR-indirect","2","1e-08",0,0,0,0,0
