"Method","Trait","pval","estimate","se","lower","upper","length"
"MVMR-IVW","1","0.01",0.022,0.053,-0.083,0.126,0.209
"MVMR-IVW","1","1e-04",0.031,0.055,-0.078,0.139,0.217
"MVMR-IVW","1","1e-06",0.01,0.063,-0.114,0.133,0.247
"MVMR-IVW","1","1e-08",0.016,0.068,-0.117,0.149,0.266
"GRAPPLE","1","0.01",-0.084,0.208,-0.492,0.325,0.817
"GRAPPLE","1","1e-04",-0.02,0.19,-0.393,0.354,0.747
"GRAPPLE","1","1e-06",-0.086,0.215,-0.507,0.336,0.843
"GRAPPLE","1","1e-08",-0.066,0.232,-0.52,0.388,0.908
"MVMR-Egger","1","0.01",0.001,0.054,-0.104,0.106,0.21
"MVMR-Egger","1","1e-04",0.02,0.056,-0.089,0.129,0.218
"MVMR-Egger","1","1e-06",-0.006,0.064,-0.131,0.12,0.251
"MVMR-Egger","1","1e-08",0.002,0.07,-0.135,0.139,0.274
"MVMR-Robust","1","0.01",0.009,0.052,-0.093,0.112,0.205
"MVMR-Robust","1","1e-04",0.019,0.055,-0.09,0.128,0.218
"MVMR-Robust","1","1e-06",0.003,0.065,-0.123,0.13,0.253
"MVMR-Robust","1","1e-08",0.007,0.072,-0.135,0.15,0.285
"MVMR-cML","1","0.01",0.624,0.152,0.327,0.922,0.595
"MVMR-cML","1","1e-04",0.496,0.184,0.135,0.858,0.723
"MVMR-cML","1","1e-06",0.564,0.185,0.201,0.926,0.725
"MVMR-cML","1","1e-08",0.557,0.203,0.158,0.955,0.797
"FLOW-MR","1","0.01",0.233,0.182,-0.107,0.615,0.722
"FLOW-MR","1","1e-04",0.183,0.166,-0.142,0.521,0.663
"FLOW-MR","1","1e-06",0.136,0.178,-0.2,0.507,0.707
"FLOW-MR","1","1e-08",0.146,0.189,-0.225,0.525,0.75
"MVMR-Horse","1","0.01",-0.008,0.104,-0.215,0.189,0.404
"MVMR-Horse","1","1e-04",0.01,0.095,-0.173,0.195,0.368
"MVMR-Horse","1","1e-06",-0.036,0.107,-0.242,0.173,0.415
"MVMR-Horse","1","1e-08",-0.021,0.112,-0.244,0.206,0.45
"FLOW-MR-indirect","1","0.01",0.83,0,0.537,1.175,0.638
"FLOW-MR-indirect","1","1e-04",0.851,0,0.58,1.149,0.569
"FLOW-MR-indirect","1","1e-06",0.891,0,0.592,1.25,0.658
"FLOW-MR-indirect","1","1e-08",0.903,0,0.578,1.262,0.684
"MVMR-IVW","1","0.01",0.059,0.058,-0.055,0.173,0.228
"MVMR-IVW","1","1e-04",0.092,0.065,-0.035,0.219,0.254
"MVMR-IVW","1","1e-06",0.078,0.071,-0.061,0.216,0.277
"MVMR-IVW","1","1e-08",0.118,0.076,-0.031,0.268,0.299
