"Method","Trait","pval","estimate","se","lower","upper","length"
"IVW","1","0.01",0.463,0.031,0.402,0.525,0.123
"IVW","1","1e-04",0.502,0.035,0.432,0.571,0.139
"IVW","1","1e-06",0.537,0.039,0.462,0.613,0.151
"IVW","1","1e-08",0.573,0.041,0.492,0.654,0.162
"GRAPPLE","1","0.01",0.738,0.05,0.641,0.836,0.195
"GRAPPLE","1","1e-04",0.757,0.054,0.651,0.863,0.212
"GRAPPLE","1","1e-06",0.758,0.055,0.651,0.865,0.214
"GRAPPLE","1","1e-08",0.774,0.056,0.663,0.884,0.221
"MR-Egger","1","0.01",0.479,0.052,0.377,0.581,0.204
"MR-Egger","1","1e-04",0.478,0.06,0.36,0.596,0.236
"MR-Egger","1","1e-06",0.471,0.068,0.338,0.604,0.266
"MR-Egger","1","1e-08",0.461,0.073,0.317,0.605,0.288
"MR-Robust","1","0.01",0.433,0.031,0.372,0.493,0.121
"MR-Robust","1","1e-04",0.477,0.033,0.412,0.543,0.131
"MR-Robust","1","1e-06",0.516,0.034,0.449,0.583,0.134
"MR-Robust","1","1e-08",0.55,0.035,0.481,0.619,0.138
"FLOW-MR","1","0.01",0.739,0.062,0.628,0.86,0.232
"FLOW-MR","1","1e-04",0.755,0.065,0.636,0.904,0.268
"FLOW-MR","1","1e-06",0.774,0.067,0.659,0.919,0.26
"FLOW-MR","1","1e-08",0.768,0.071,0.639,0.912,0.273
"MR-Horse","1","0.01",0.804,0.059,0.686,0.914,0.228
"MR-Horse","1","1e-04",0.836,0.063,0.721,0.966,0.245
"MR-Horse","1","1e-06",0.836,0.059,0.727,0.953,0.226
"MR-Horse","1","1e-08",0.841,0.063,0.727,0.968,0.241
"IVW","1","0.01",0.445,0.029,0.388,0.502,0.114
"IVW","1","1e-04",0.489,0.032,0.426,0.552,0.126
"IVW","1","1e-06",0.534,0.036,0.464,0.604,0.14
"IVW","1","1e-08",0.561,0.039,0.486,0.637,0.151
"GRAPPLE","1","0.01",0.671,0.044,0.584,0.757,0.173
"GRAPPLE","1","1e-04",0.687,0.046,0.597,0.776,0.179
"GRAPPLE","1","1e-06",0.727,0.049,0.631,0.823,0.192
"GRAPPLE","1","1e-08",0.737,0.051,0.637,0.837,0.2
"MR-Egger","1","0.01",0.518,0.049,0.422,0.614,0.192
"MR-Egger","1","1e-04",0.528,0.056,0.418,0.638,0.22
"MR-Egger","1","1e-06",0.548,0.062,0.427,0.669,0.242
"MR-Egger","1","1e-08",0.55,0.067,0.419,0.68,0.261
